Incident_Description,Attack_Type,Severity
"User reported receiving suspicious email asking to verify bank account details with embedded link to fake banking site",phishing,high
"Multiple employees received emails claiming to be from IT department requesting password reset through external link",phishing,high
"Employee clicked on attachment in email supposedly from shipping company, computer now running slowly with popup ads",malware,medium
"Website experiencing intermittent outages, server logs show massive traffic spike from multiple IP addresses",DDoS,high
"Suspicious login attempts detected from unknown IP address in foreign country on admin account",unauthorized_access,medium
"Employee laptop screen showing message demanding bitcoin payment to unlock files",ransomware,high
"Security scan detected unauthorized software installed on marketing department computers",malware,low
"Customer data found posted on dark web forum, appears to match our database structure",data_breach,high
"Firewall logs show repeated connection attempts to command and control server",malware,high
"Employee reported their email sending messages they didn't write to entire contact list",account_compromise,medium
"Network monitoring detected large data transfer to unknown external IP address after hours",data_exfiltration,high
"Users reporting inability to access company website, showing 'Service Unavailable' error",DDoS,medium
"Antivirus detected trojan horse in downloaded software on finance computer",malware,high
"Multiple failed login attempts on VPN from various geographical locations",brute_force,medium
"Employee received call from someone claiming to be tech support asking for remote access",social_engineering,medium
"Discovered bitcoin mining software running on several company servers",cryptojacking,medium
"USB device found in parking lot was plugged into reception computer",malware,high
"Abnormal database queries detected accessing customer payment information",SQL_injection,high
"Email server sending thousands of spam messages, IP blacklisted",account_compromise,high
"Employee reported fake job posting on external site using company branding",brand_abuse,low
"Security certificate on internal application expired causing access issues",misconfiguration,low
"Suspicious browser extension installed requesting access to all web traffic",malware,medium
"Customer reported fraudulent charges after using our payment system",payment_fraud,high
"Network scan revealed several systems running outdated vulnerable software versions",vulnerability,medium
"Employee social media account compromised and posting company confidential information",account_compromise,medium
"Wireless access point detected broadcasting company SSID but not managed by IT",rogue_device,medium
"Log analysis shows privilege escalation attempt on database server",privilege_escalation,high
"Fake mobile app using company logo discovered on third-party app store",brand_abuse,medium
"Employee reported laptop stolen from coffee shop with customer data",physical_security,high
"Automated script attempting to create multiple fake user accounts detected",bot_attack,low
"Source code repository access logs show downloads from terminated employee account",insider_threat,high
"Production server CPU at 100% due to process spawning infinite child processes",resource_exhaustion,medium
"Phishing campaign targeting C-level executives with fake board meeting invites",spear_phishing,high
"Network traffic analysis revealed data being sent to known malicious IP",malware,high
"User reported popup claiming computer infected and providing fake tech support number",scareware,low
"API experiencing unusual traffic pattern suggesting credential stuffing attack",credential_stuffing,medium
"Discovered keylogger software on CFO's computer during routine maintenance",malware,high
"Email quarantine caught message with malicious macro-enabled document",malware,medium
"Physical security breach: unauthorized person tailgated into server room",physical_security,high
"DNS logs show multiple lookups to newly registered suspicious domains",DNS_hijacking,medium
"Employee fell for tech support scam and gave remote access to their computer",social_engineering,high
"Backup system not running for past week due to ransomware encryption",ransomware,high
"Marketing email platform account sending phishing emails to customer list",account_compromise,high
"Detected modification of critical system files without authorization",rootkit,high
"Customer support tickets system defaced with political messages",website_defacement,medium
"Load balancer logs show traffic pattern consistent with slowloris attack",DDoS,medium
"Financial application showing signs of form jacking code injection",web_skimming,high
"Suspicious PowerShell commands executed on multiple domain computers",fileless_malware,high
"Third-party vendor breach exposed our customer email addresses",supply_chain,medium
"Employee reported receiving USB drive in mail claiming to contain invoice",malware,medium
"Mobile device management detected jailbroken device accessing corporate email",policy_violation,low
"Web application firewall blocked multiple XSS attempts on customer portal",XSS,medium
"Unusual pattern of password reset requests for executive accounts",account_takeover,high
"Network segment showing signs of lateral movement after initial compromise",APT,high
"Public S3 bucket found containing sensitive internal documents",misconfiguration,high
"Employee reported voice phishing call asking for VPN credentials",vishing,medium
"Detected unauthorized wireless device performing man-in-the-middle attack",MITM,high
"System logs show someone attempted to disable antivirus on multiple machines",malware,medium
"Fake LinkedIn profile impersonating CEO sending connection requests",social_engineering,low
"Database backup files found exposed on public file sharing service",data_exposure,high
"Network printer accessed remotely and printing threatening messages",unauthorized_access,low
"Suspicious Chrome extension stealing cookies and session tokens detected",session_hijacking,high
"Email gateway detected business email compromise attempt on vendor payment",BEC,high
"Temperature sensors in server room manipulated causing HVAC failure",physical_security,medium
"Discovered rogue DHCP server on network assigning malicious DNS servers",rogue_device,high
"Application logs show LDAP injection attempts on authentication system",LDAP_injection,medium
"Employee laptop camera activated without user knowledge or consent",spyware,medium
"Detected cryptocurrency wallet addresses replaced in clipboard by malware",clipboard_hijacking,medium
"Office 365 account sending phishing emails after credential compromise",account_compromise,high
"Network traffic shows beaconing behavior to command and control server",malware,high
"Discovered credit card skimmer on e-commerce checkout page",web_skimming,high
"Building access card cloned and used for unauthorized entry",physical_security,medium
"Suspicious process injection detected in legitimate Windows processes",process_injection,high
"Employee reported deepfake video call impersonating company executive",deepfake,high
"Cloud storage bucket permissions changed to public without authorization",misconfiguration,high
"Detected attempts to exploit recently disclosed zero-day vulnerability",zero_day,high
"Malicious QR code posted in break room leading to credential harvesting site",phishing,medium
"Network shares encrypted with ransom note demanding cryptocurrency payment",ransomware,high
"IoT security camera in office streaming to unauthorized external server",IoT_compromise,medium
"Discovered backdoor account in critical production application",backdoor,high
"SMS phishing campaign targeting employees with fake IT security alerts",smishing,medium
"Unauthorized modification of DNS records pointing to attacker infrastructure",DNS_hijacking,high
"Employee reported blackmail attempt using stolen personal information",extortion,high
"Detected watering hole attack on industry news website frequently visited",watering_hole,medium
"Suspicious registry modifications detected across multiple workstations",malware,medium
"Fake security update popup installed remote access trojan on user machine",trojan,high
"API key exposed in public GitHub repository being actively exploited",secret_exposure,high
"Network forensics revealed data staging in preparation for exfiltration",data_theft,high
"Employee badge used to access building during non-business hours",insider_threat,medium
"Detected attempts to bypass web application firewall using encoding tricks",WAF_bypass,medium
"Malicious browser redirect sending users to tech support scam page",browser_hijack,low
"Supply chain partner system compromise led to malware in software update",supply_chain,high
"Discovered listening device in executive conference room",physical_security,high
"Email impersonation attack targeting accounts payable for wire transfer",BEC,high
"Detected living-off-the-land attack using legitimate Windows tools",fileless_malware,high
"Customer reported SIM swapping attack to bypass two-factor authentication",SIM_swapping,high
"Malicious insider downloaded entire customer database before resignation",insider_threat,high
"DDoS attack using IoT botnet causing website outage during sales event",DDoS,high
"Discovered formjacking code on payment processing page stealing card data",formjacking,high
"Security researcher reported vulnerability in our mobile application",vulnerability_disclosure,medium
"Detected cryptomining malware using 90% of server resources",cryptojacking,medium
"Fake browser update popup delivered banking trojan to accounting department",trojan,high
"Received email with PDF attachment containing embedded malicious JavaScript",malware,medium
"Login page clone detected on typosquatted domain targeting our users",phishing,high
"Firewall detected port scanning activity from internal network segment",reconnaissance,low
"Customer service rep reported caller trying to extract customer information",social_engineering,medium
"Unexpected spike in API calls suggesting automated data scraping attempt",data_scraping,low
"Security audit found hardcoded credentials in production application code",vulnerability,high
"Employee workstation infected with adware displaying inappropriate content",adware,low
"Detected buffer overflow attempt on web server application",exploit,high
"Unusual file encryption activity detected on shared network drive",ransomware,high
"Company Twitter account posting spam links after password compromise",account_compromise,medium
"Malicious macro in Excel file attempting to download additional payloads",malware,medium
"VoIP system showing signs of toll fraud with calls to premium numbers",toll_fraud,medium
"Database logs show attempt to extract data using blind SQL injection",SQL_injection,high
"Employee reported suspicious person photographing security badge at cafe",physical_security,low
"Detected rootkit hiding malicious processes from security software",rootkit,high
"Phishing site discovered mimicking our customer login portal exactly",phishing,high
"Network traffic to known cryptomining pools from multiple workstations",cryptojacking,medium
"Executive assistant received spear phishing email about fake acquisition",spear_phishing,high
"Vulnerability scanner detected unpatched Apache Struts on web server",vulnerability,high
"Strange entries in Windows Event Log suggesting system compromise",malware,medium
"Customer reported receiving our company emails with altered payment details",email_spoofing,high
"Discovered unauthorized VPN connection from decommissioned user account",unauthorized_access,medium
"Website contact form being used to send spam messages to users",spam,low
"Memory analysis revealed fileless malware residing only in RAM",fileless_malware,high
"Employee fell victim to romance scam revealing company information",social_engineering,medium
"Detected XML external entity (XXE) injection attempt on API endpoint",XXE,medium
"Security camera footage shows someone installing device on network port",physical_security,high
"Antivirus quarantined cryptocurrency miner disguised as system update",cryptojacking,medium
"Log correlation detected possible advanced persistent threat activity",APT,high
"User reported browser homepage changed to malicious search engine",browser_hijack,low
"Discovered exposed .git directory on production web server",misconfiguration,medium
"SMS messages sent from company number without authorization",smishing,medium
"Detected attempt to register domain similar to company name for fraud",typosquatting,medium
"Employee reported USB keyboard behaving strangely, possible keylogger",hardware_keylogger,high
"Cloud infrastructure billing shows resources in regions we don't use",cloud_compromise,high
"Malware analysis revealed info stealer targeting browser saved passwords",password_stealer,high
"Physical letter received with QR code leading to phishing website",phishing,low
"Network IDS detected shellcode execution attempt from web application",exploit,high
"Discovered Bitcoin wallet address in ransomware note on encrypted server",ransomware,high
"Employee reported receiving package with malicious USB device inside",malware,medium
"Detected cross-site request forgery attempt on admin panel",CSRF,medium
"Security logs show PowerShell Empire framework indicators",APT,high
"Customer data offered for sale on criminal forum matches our records",data_breach,high
"Wireless network showing signs of WPA2 KRACK vulnerability exploitation",wireless_attack,medium
"Employee reported fake recruiter asking about company security measures",social_engineering,medium
"Detected malicious redirect chain leading to exploit kit landing page",exploit_kit,high
"Office printer displaying ransom message and refusing to print",ransomware,low
"Analysis shows supply chain attack through compromised npm package",supply_chain,high
"User account locked after multiple login attempts with leaked passwords",credential_stuffing,medium
"Discovered backdoored version of legitimate software on file server",trojan,high
"Email analysis revealed conversation hijacking in ongoing thread",BEC,high
"Network segment isolated after detecting Emotet malware infection",malware,high
"Physical security report: lock on server room door tampered with",physical_security,high
"Detected domain generation algorithm (DGA) activity from infected host",malware,high
"Employee reported extortion email with personal photos attached",sextortion,medium
"Web server logs show attempt to upload web shell through file upload",web_shell,high
"Discovered rogue wireless access point in executive floor conference room",rogue_device,high
"API logs show enumeration attempt on user email addresses",reconnaissance,low
"Detected attempt to exploit Heartbleed vulnerability on old server",exploit,medium
"Employee received USB fan as promotional gift containing malware",malware,medium
"Network traffic shows TOR usage from accounting department computer",suspicious_activity,low
"Discovered iframe injection on company blog serving malvertising",malvertising,medium
"Security token theft detected through phishing site with valid SSL cert",phishing,high
"Database query logs show union-based SQL injection successful attempt",SQL_injection,high
"Employee reported tailgating attempt at secure facility entrance",physical_security,medium
"Detected Mimikatz credential dumping tool execution on domain controller",credential_theft,high
"Fake invoice email with macro-enabled Word document in attachment",malware,medium
"Log analysis revealed privilege escalation using Windows UAC bypass",privilege_escalation,high
"Customer reported account takeover after clicking email link",account_takeover,high
"Discovered cryptominer installed through vulnerable WordPress plugin",cryptojacking,medium
"Network probe detected from IP address registered to competitor",reconnaissance,low
"Employee laptop showing signs of MBR (Master Boot Record) modification",bootkit,high
"Phishing email using homograph attack with Cyrillic characters in URL",phishing,medium
"Detected attempt to exfiltrate data through DNS tunneling technique",data_exfiltration,high
"Security audit found default credentials on IoT devices in network",misconfiguration,medium
"User reported fake antivirus software demanding payment for removal",scareware,low
"Email server logs show attempt to relay spam through our domain",spam_relay,medium
"Discovered logic bomb in code repository set to trigger on specific date",logic_bomb,high
"Network traffic analysis shows command injection attempt on web form",command_injection,high
"Employee badge cloning attempt detected by physical access control system",physical_security,medium
"Malware sandbox analysis revealed VM evasion techniques in sample",malware,medium
"Detected watering hole on vendor website we frequently access",watering_hole,high
"User reported screen recording software installed without consent",spyware,high
"API showing signs of race condition exploitation for duplicate transactions",race_condition,medium
"Discovered exposed Elasticsearch cluster with customer data",misconfiguration,high
"Employee reported vishing call requesting wire transfer authorization",vishing,high
"Network logs show SMB relay attack attempt on file server",relay_attack,high
"Detected malicious Office 365 OAuth app with excessive permissions",OAuth_abuse,high
"Security camera tampered with adhesive spray blocking view",physical_security,low
"User workstation showing signs of coin miner using GPU resources",cryptojacking,medium
"Discovered subdomain takeover vulnerability being actively exploited",subdomain_takeover,medium
"Email gateway blocked executable disguised with double extension",malware,medium
"Detected BlueKeep vulnerability exploitation attempt on RDP service",exploit,high
"Employee reported deepfake audio call impersonating CEO requesting funds",deepfake,high
"Log analysis shows successful directory traversal attack on web server",path_traversal,medium
"Discovered malicious browser extension exfiltrating form data",form_grabber,high
"Network monitoring detected covert channel using ICMP packets",covert_channel,medium
"User reported ransomware countdown timer on desktop background",ransomware,high
"Detected attempt to poison machine learning training data",ML_poisoning,medium
"Physical security: unauthorized drone spotted near data center",physical_security,low
"Email containing shortened URL redirecting through multiple domains",phishing,medium
"Discovered web cache poisoning attack affecting multiple users",cache_poisoning,medium
"Employee reported Bluetooth skimming device found on ATM in lobby",skimming,high
"Network traffic shows exploit attempt for ProxyLogon vulnerability",exploit,high
"Detected malicious use of living-off-the-land binaries (LOLBins)",fileless_malware,medium
